eventid,time,event
2351139,2021-3-29 2:03,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:426 个"

2351140,2021-3-29 2:04,"北京万门教育科技有限公司-苏州-byod在线数小于18,当前值:18 个"

2351141,2021-3-29 2:05,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2351142,2021-3-29 2:06,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2351143,2021-3-29 2:08,"北京万门教育科技有限公司-苏州-byod在线数小于18,当前值:17 个"

2351144,2021-3-29 2:09,"北京万门教育科技有限公司-苏州-byod在线数小于18,当前值:18 个"

2351517,2021-3-29 2:25,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2351518,2021-3-29 2:27,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2351519,2021-3-29 2:29,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2351700,2021-3-29 2:35,"北京万门教育科技有限公司-南京-byod在线数小于20,当前值:19 个"

2351701,2021-3-29 2:36,"北京万门教育科技有限公司-南京-byod在线数小于20,当前值:20 个"

2351702,2021-3-29 2:37,High CPU utilization (over 90% for 5m)

2351703,2021-3-29 2:38,High CPU utilization (over 90% for 5m)

2351704,2021-3-29 2:40,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2351709,2021-3-29 2:45,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2351710,2021-3-29 2:46,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2351711,2021-3-29 2:48,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:431 个"

2351712,2021-3-29 2:48,100.64.111.5：vAC数量是41 个，超过40！

2351715,2021-3-29 2:50,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2351716,2021-3-29 2:51,"北京万门教育科技有限公司-西安-byod在线数小于18,当前值:17 个"

2351717,2021-3-29 2:52,"北京万门教育科技有限公司-西安-byod在线数小于18,当前值:18 个"

2351718,2021-3-29 2:54,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2351721,2021-3-29 2:55,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:427 个"

2351722,2021-3-29 2:56,100.64.96.13 /ac 磁盘使用率当前值：95.01 %

2351723,2021-3-29 2:58,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:431 个"

2351724,2021-3-29 2:59,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2351725,2021-3-29 2:59,High CPU utilization (over 90% for 5m)

2351726,2021-3-29 3:00,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2351727,2021-3-29 3:02,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2351728,2021-3-29 3:02,High CPU utilization (over 90% for 5m)

2351729,2021-3-29 3:03,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2351730,2021-3-29 3:05,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2351731,2021-3-29 3:05,"丰田汽车（中国）投资有限公司-byod在线数小于400个,当前值:4 个"

2351732,2021-3-29 3:06,vtp-datareport-server进程异常

2351733,2021-3-29 3:06,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2351734,2021-3-29 3:07,High CPU utilization (over 90% for 5m)

2351735,2021-3-29 3:07,"丰田汽车（中国）投资有限公司-byod在线数小于400个,当前值:515 个"

2351736,2021-3-29 3:08,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:427 个"

2351737,2021-3-29 3:08,High CPU utilization (over 90% for 5m)

2351738,2021-3-29 3:09,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:36 个"

2351739,2021-3-29 3:10,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:433 个"

2351740,2021-3-29 3:13,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2351741,2021-3-29 3:14,vtp-datareport-server进程异常

2351742,2021-3-29 3:15,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:433 个"

2351749,2021-3-29 3:18,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2351992,2021-3-29 3:19,100.64.160.12  30分钟内未收到监控数据

2351993,2021-3-29 3:19,100.64.160.12  30分钟内未收到监控数据

2351996,2021-3-29 3:20,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:431 个"

2351997,2021-3-29 3:20,100.64.160.12  30分钟内未收到监控数据

2352116,2021-3-29 3:20,100.64.160.12  30分钟内未收到监控数据

2352117,2021-3-29 3:21,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2352118,2021-3-29 3:21,100.64.160.12  30分钟内未收到监控数据

2352119,2021-3-29 3:21,100.64.160.12  30分钟内未收到监控数据

2352120,2021-3-29 3:22,100.64.160.12  30分钟内未收到监控数据

2352121,2021-3-29 3:22,100.64.160.12  30分钟内未收到监控数据

2352122,2021-3-29 3:23,100.64.160.12  30分钟内未收到监控数据

2352123,2021-3-29 3:23,100.64.160.12  30分钟内未收到监控数据

2352124,2021-3-29 3:24,100.64.160.12  30分钟内未收到监控数据

2352125,2021-3-29 3:24,100.64.160.12  30分钟内未收到监控数据

2352126,2021-3-29 3:25,100.64.160.12  30分钟内未收到监控数据

2352127,2021-3-29 3:25,100.64.160.12  30分钟内未收到监控数据

2352128,2021-3-29 3:28,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2352129,2021-3-29 3:29,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2352130,2021-3-29 3:30,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2352131,2021-3-29 3:31,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2352222,2021-3-29 3:32,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:433 个"

2352403,2021-3-29 3:34,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2352404,2021-3-29 3:36,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2352405,2021-3-29 3:39,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:427 个"

2352408,2021-3-29 3:41,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2352411,2021-3-29 3:51,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2352412,2021-3-29 3:52,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2352413,2021-3-29 3:54,100.64.48.73  30分钟内未收到监控数据

2352414,2021-3-29 3:55,100.64.48.73  30分钟内未收到监控数据

2352415,2021-3-29 3:55,100.64.48.73  30分钟内未收到监控数据

2352416,2021-3-29 3:56,100.64.48.73  30分钟内未收到监控数据

2352417,2021-3-29 3:56,100.64.48.73  30分钟内未收到监控数据

2352418,2021-3-29 3:57,100.64.48.73  30分钟内未收到监控数据

2352419,2021-3-29 3:57,100.64.48.73  30分钟内未收到监控数据

2352420,2021-3-29 3:58,100.64.48.73  30分钟内未收到监控数据

2352421,2021-3-29 3:58,100.64.48.73  30分钟内未收到监控数据

2352422,2021-3-29 3:59,100.64.48.73  30分钟内未收到监控数据

2352423,2021-3-29 3:59,100.64.48.73  30分钟内未收到监控数据

2352424,2021-3-29 4:00,100.64.48.73  30分钟内未收到监控数据

2352425,2021-3-29 4:00,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:426 个"

2352426,2021-3-29 4:00,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2352427,2021-3-29 4:00,100.64.48.73  30分钟内未收到监控数据

2352428,2021-3-29 4:01,100.64.48.73  30分钟内未收到监控数据

2352429,2021-3-29 4:01,100.64.48.73  30分钟内未收到监控数据

2352430,2021-3-29 4:02,100.64.48.73  30分钟内未收到监控数据

2352431,2021-3-29 4:02,100.64.48.73  30分钟内未收到监控数据

2352432,2021-3-29 4:03,100.64.48.73  30分钟内未收到监控数据

2352433,2021-3-29 4:03,100.64.48.73  30分钟内未收到监控数据

2352434,2021-3-29 4:04,100.64.48.73  30分钟内未收到监控数据

2352435,2021-3-29 4:04,100.64.48.73  30分钟内未收到监控数据

2352436,2021-3-29 4:08,100.64.48.73  30分钟内未收到监控数据

2352437,2021-3-29 4:20,"DP主备状态发生变化！最新值：INACTIVE,"

2352444,2021-3-29 4:22,"DP主备状态发生变化！最新值：ACTIVE,"

2352991,2021-3-29 4:35,"100.64.176.17 在10分钟内平均僵死进程数大于25个,当前值：78"

2352992,2021-3-29 4:38,High CPU utilization (over 90% for 5m)

2352993,2021-3-29 4:39,High CPU utilization (over 90% for 5m)

2352996,2021-3-29 4:50,"100.64.176.17 在10分钟内平均僵死进程数大于25个,当前值：0"

2353367,2021-3-29 5:34,High CPU utilization (over 90% for 5m)

2353548,2021-3-29 5:36,High CPU utilization (over 90% for 5m)

2353549,2021-3-29 6:00,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2353550,2021-3-29 6:00,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2353551,2021-3-29 6:00,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:431 个"

2353552,2021-3-29 6:00,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2353553,2021-3-29 6:01,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2353554,2021-3-29 6:03,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2353555,2021-3-29 6:06,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2353556,2021-3-29 6:07,东为（北京）科贸有限公司-byod在线数小于30，当前值:29 个

2353561,2021-3-29 6:08,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:431 个"

2353562,2021-3-29 6:11,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2353563,2021-3-29 6:13,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:432 个"

2353564,2021-3-29 6:19,High CPU utilization (over 90% for 5m)

2353565,2021-3-29 6:20,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:427 个"

2353566,2021-3-29 6:21,High CPU utilization (over 90% for 5m)

2353567,2021-3-29 6:26,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2353568,2021-3-29 6:28,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2353937,2021-3-29 6:33,High CPU utilization (over 90% for 5m)

2353938,2021-3-29 6:35,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2354119,2021-3-29 6:38,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:427 个"

2354120,2021-3-29 6:38,东为（北京）科贸有限公司-byod在线数小于30，当前值:31 个

2354121,2021-3-29 6:40,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:431 个"

2354122,2021-3-29 6:40,"100.64.176.17 在10分钟内平均僵死进程数大于25个,当前值：154"

2354123,2021-3-29 6:42,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:429 个"

2354124,2021-3-29 6:43,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2354125,2021-3-29 6:47,High CPU utilization (over 90% for 5m)

2354126,2021-3-29 6:50,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2354127,2021-3-29 6:50,"100.64.176.17 在10分钟内平均僵死进程数大于25个,当前值：1"

2354128,2021-3-29 6:53,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2354129,2021-3-29 6:54,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:426 个"

2354130,2021-3-29 7:03,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2354131,2021-3-29 7:04,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2354132,2021-3-29 7:11,High CPU utilization (over 90% for 5m)

2354133,2021-3-29 7:12,东为（北京）科贸有限公司-byod在线数小于30，当前值:29 个

2354134,2021-3-29 7:13,dp 链路状态告警

2354135,2021-3-29 7:14,High CPU utilization (over 90% for 5m)

2354136,2021-3-29 7:15,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2354137,2021-3-29 7:16,dp 链路状态告警

2354138,2021-3-29 7:17,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2354139,2021-3-29 7:18,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:425 个"

2354172,2021-3-29 7:25,High CPU utilization (over 90% for 5m)

2354173,2021-3-29 7:26,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2354174,2021-3-29 7:27,High CPU utilization (over 90% for 5m)

2354175,2021-3-29 7:28,dp 链路状态告警

2354176,2021-3-29 7:28,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2354177,2021-3-29 7:29,东为（北京）科贸有限公司-byod在线数小于30，当前值:30 个

2354180,2021-3-29 7:31,dp 链路状态告警

2354429,2021-3-29 7:33,100.64.176.17：tenant.ini文件告警！告警内容【tenant_id is empty】

2354550,2021-3-29 7:34,100.64.176.17：tenant.ini文件告警！告警内容【success】

2354551,2021-3-29 7:36,东为（北京）科贸有限公司-byod在线数小于30，当前值:29 个

2354666,2021-3-29 7:37,东为（北京）科贸有限公司-byod在线数小于30，当前值:31 个

2354733,2021-3-29 7:41,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2354734,2021-3-29 7:43,100.64.112.24 swap空间使用率当前值：80.86 %

2354735,2021-3-29 7:48,100.64.0.130 /data 磁盘使用率当前值：93.98 %

2354736,2021-3-29 7:51,东为（北京）科贸有限公司-byod在线数小于30，当前值:29 个

2354743,2021-3-29 8:00,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2354744,2021-3-29 8:01,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2354745,2021-3-29 8:02,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2354746,2021-3-29 8:03,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:422 个"

2354749,2021-3-29 8:10,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2354750,2021-3-29 8:11,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2354751,2021-3-29 8:25,dp 链路状态告警

2354752,2021-3-29 8:28,dp 链路状态告警

2354753,2021-3-29 8:31,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2354754,2021-3-29 8:32,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:430 个"

2354755,2021-3-29 8:32,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2354756,2021-3-29 8:33,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:428 个"

2355125,2021-3-29 8:37,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2355306,2021-3-29 8:39,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2355307,2021-3-29 8:43,dp 链路状态告警

2355308,2021-3-29 8:43,100.64.176.49 主机不可达

2355309,2021-3-29 8:45,100.64.0.135 /data 磁盘使用率当前值：97.31 %

2355310,2021-3-29 8:45,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2355311,2021-3-29 8:46,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2355312,2021-3-29 8:47,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:34 个"

2355313,2021-3-29 8:50,100.64.0.135 /data 磁盘使用率当前值：87.54 %

2355314,2021-3-29 8:50,"深圳宏崎达技术有限公司-byod在线数小于35,当前值:35 个"

2355315,2021-3-29 8:56,100.64.176.49 主机不可达

2355316,2021-3-29 8:57,东为（北京）科贸有限公司-byod在线数小于30，当前值:30 个

2355317,2021-3-29 8:58,100.64.176.60 主机不可达

2355318,2021-3-29 9:00,"深圳市柠檬树科技有限公司-byod在线数小于430,当前值:425 个"

2355319,2021-3-29 9:05,100.64.176.60 主机不可达

2355320,2021-3-29 9:06,100.64.176.59 主机不可达

2355321,2021-3-29 9:07,100.64.176.49  30分钟内未收到监控数据

2355322,2021-3-29 9:08,100.64.176.49  30分钟内未收到监控数据

2355323,2021-3-29 9:08,100.64.176.49  30分钟内未收到监控数据

2355324,2021-3-29 9:09,100.64.176.49  30分钟内未收到监控数据

2355325,2021-3-29 9:09,100.64.176.49  30分钟内未收到监控数据

2355326,2021-3-29 9:10,100.64.176.49  30分钟内未收到监控数据

2355327,2021-3-29 9:10,100.64.176.49  30分钟内未收到监控数据

2355328,2021-3-29 9:11,100.64.176.49  30分钟内未收到监控数据

2355329,2021-3-29 9:11,100.64.176.49  30分钟内未收到监控数据

2355330,2021-3-29 9:12,100.64.176.49  30分钟内未收到监控数据

2355331,2021-3-29 9:12,100.64.176.49  30分钟内未收到监控数据

2355332,2021-3-29 9:12,100.64.176.59 主机不可达

2355333,2021-3-29 9:13,100.64.176.49  30分钟内未收到监控数据

2355334,2021-3-29 9:13,100.64.176.58 主机不可达

2355335,2021-3-29 9:13,100.64.176.49  30分钟内未收到监控数据

2355336,2021-3-29 9:14,100.64.176.49  30分钟内未收到监控数据

2355337,2021-3-29 9:14,100.64.176.49  30分钟内未收到监控数据

2355338,2021-3-29 9:15,100.64.176.49  30分钟内未收到监控数据

2355339,2021-3-29 9:15,100.64.176.49  30分钟内未收到监控数据

2355340,2021-3-29 9:16,100.64.176.49  30分钟内未收到监控数据

2355341,2021-3-29 9:16,100.64.176.49  30分钟内未收到监控数据

2355342,2021-3-29 9:17,100.64.176.49  30分钟内未收到监控数据

2355343,2021-3-29 9:17,100.64.176.49  30分钟内未收到监控数据

2355344,2021-3-29 9:19,100.64.176.58 主机不可达

2355345,2021-3-29 9:20,100.64.176.28 主机不可达

2355346,2021-3-29 9:20,100.64.176.60  30分钟内未收到监控数据

2355347,2021-3-29 9:21,100.64.176.60  30分钟内未收到监控数据

2355348,2021-3-29 9:21,100.64.176.60  30分钟内未收到监控数据

2355349,2021-3-29 9:22,100.64.176.60  30分钟内未收到监控数据

2355350,2021-3-29 9:22,100.64.176.60  30分钟内未收到监控数据

2355351,2021-3-29 9:23,100.64.176.60  30分钟内未收到监控数据

2355352,2021-3-29 9:23,100.64.176.60  30分钟内未收到监控数据

2355353,2021-3-29 9:24,100.64.176.60  30分钟内未收到监控数据

2355354,2021-3-29 9:24,100.64.176.60  30分钟内未收到监控数据

2355355,2021-3-29 9:25,100.64.176.60  30分钟内未收到监控数据

2355356,2021-3-29 9:25,100.64.176.60  30分钟内未收到监控数据

2355357,2021-3-29 9:26,100.64.176.60  30分钟内未收到监控数据

2355358,2021-3-29 9:26,100.64.176.60  30分钟内未收到监控数据

2355359,2021-3-29 9:27,100.64.176.60  30分钟内未收到监控数据

2355360,2021-3-29 9:27,100.64.176.60  30分钟内未收到监控数据

2355361,2021-3-29 9:28,100.64.176.28 主机不可达

2355362,2021-3-29 9:28,100.64.176.60  30分钟内未收到监控数据

2355363,2021-3-29 9:28,100.64.176.27 主机不可达

2355364,2021-3-29 9:28,100.64.176.60  30分钟内未收到监控数据

2355365,2021-3-29 9:29,100.64.176.60  30分钟内未收到监控数据

2355366,2021-3-29 9:29,100.64.176.60  30分钟内未收到监控数据

2355367,2021-3-29 9:30,100.64.176.60  30分钟内未收到监控数据

2355368,2021-3-29 9:30,100.64.176.60  30分钟内未收到监控数据

2355369,2021-3-29 9:30,100.64.176.59  30分钟内未收到监控数据

2355370,2021-3-29 9:31,100.64.176.59  30分钟内未收到监控数据

2355371,2021-3-29 9:31,100.64.176.59  30分钟内未收到监控数据

2355372,2021-3-29 9:32,100.64.176.59  30分钟内未收到监控数据

2355373,2021-3-29 9:32,100.64.176.59  30分钟内未收到监控数据

